seed,entity,dimension,gold_degree,gold_base,pred_degree,pred_base,conf_degree,conf_base,conf_dim,gold_prob_degree,gold_prob_base,gold_prob_dim,correct,pred_is_p_token
42,bird,T,med,therm,max,therm,0.869556,0.997005,0.931102,0.029332,0.997005,0.17101,0,0
42,bird,H,min,dur,min,therm,0.865792,0.962599,0.912913,0.865792,0.032199,0.166967,0,0
42,bird,M,nul,hydr,mag,dur,0.980446,0.949676,0.964938,0.00762,0.042115,0.017914,0,0
42,bird,V,mag,luc,min,hydr,0.926424,0.960194,0.943158,0.060908,0.019798,0.034725,0,0
42,bird,Z,min,magn,max,luc,0.987548,0.989262,0.988405,0.00732,0.000552,0.00201,0,0
42,bird,A,max,son,nul,magn,0.95616,0.627823,0.77479,0.000295,0.357028,0.010267,0,0
42,bird,W,nul,pond,min,son,0.983414,0.980198,0.981805,0.00897,0.005148,0.006795,0,0
42,bird,R,min,tact,max,pond,0.901113,0.995641,0.947199,0.034544,0.003684,0.01128,0,0
42,bird,O,max,pel,max,tact,0.990023,0.914545,0.951536,0.990023,0.06486,0.253403,0,0
42,bird,S,max,vel,max,pel,0.915797,0.951497,0.933476,0.915797,0.045625,0.20441,0,0
42,bird,F,nul,od,min,vel,0.994039,0.907448,0.949757,0.002079,0.057362,0.010921,0,0
42,bird,L,max,vit,min,od,0.917976,0.532654,0.699259,0.078608,0.034496,0.052073,0,0
42,bird,An,max,anim,max,vit,0.883949,0.997148,0.938844,0.883949,0.001522,0.036678,0,0
42,shell,T,min,therm,min,therm,0.612312,0.997955,0.781703,0.612312,0.997955,0.781703,1,0
42,shell,H,max,dur,nul,therm,0.629874,0.996692,0.792332,0.013228,0.001504,0.00446,0,0
42,shell,M,nul,hydr,nul,dur,0.96879,0.89051,0.928826,0.96879,0.102056,0.314438,0,0
42,shell,V,med,luc,nul,hydr,0.994076,0.786874,0.884428,0.001427,0.189956,0.016465,0,0
42,shell,Z,nul,magn,min,luc,0.991246,0.943156,0.966902,0.001424,0.054485,0.008807,0,0
42,shell,A,min,son,min,magn,0.959633,0.960097,0.959865,0.959633,0.013936,0.115644,0,0
42,shell,W,min,pond,nul,son,0.51052,0.9946,0.712575,0.09406,0.002377,0.014952,0,0
42,shell,R,mag,tact,max,pond,0.89876,0.995772,0.946024,0.019603,0.003408,0.008174,0,0
42,shell,O,max,pel,nul,pel,0.90005,0.831906,0.865308,0.008984,0.831906,0.086453,0,0
42,shell,S,nul,vel,nul,pel,0.990694,0.975152,0.982892,0.990694,0.018806,0.136497,0,0
42,shell,F,nul,od,nul,vel,0.999476,0.883106,0.939491,0.999476,0.103353,0.321402,0,0
42,shell,L,nul,vit,nul,vit,0.998676,0.838532,0.915108,0.998676,0.838532,0.915108,1,0
42,shell,An,nul,anim,nul,vit,0.991104,0.913028,0.951266,0.991104,0.086486,0.292773,0,0
42,claw,T,min,therm,min,therm,0.523135,0.997984,0.722551,0.523135,0.997984,0.722551,1,0
42,claw,H,max,dur,nul,therm,0.747625,0.995672,0.86278,0.036499,0.000607,0.004707,0,0
42,claw,M,nul,hydr,nul,hydr,0.9718,0.605702,0.767217,0.9718,0.605702,0.767217,1,0
42,claw,V,min,luc,nul,hydr,0.994886,0.925569,0.959602,0.00276,0.062742,0.01316,0,0
